fragment-cost,fixed,cost
250,TRUE,75
500,TRUE,90
750,TRUE,120
1000,TRUE,155
1250,TRUE,195
1500,TRUE,230
1750,TRUE,300
2000,TRUE,300
2250,TRUE,370
2500,TRUE,420
2750,TRUE,490
3000,TRUE,560
