fragment-cost,fixed,cost
250,TRUE,89
500,TRUE,89
750,TRUE,129
1000,TRUE,149
1250,TRUE,209
1500,TRUE,249
1750,TRUE,289
2000,TRUE,329
2250,TRUE,399
2500,TRUE,449
2750,TRUE,499
3000,TRUE,549
