fragment-cost,fixed,cost
250,TRUE,80
500,TRUE,80
750,TRUE,115
1000,TRUE,160
1250,TRUE,200
1500,TRUE,250
1750,TRUE,250
2000,TRUE,310
2250,TRUE,400
2500,TRUE,480
2750,TRUE,520
3000,TRUE,600
